@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %04s "RING"
@ PARTICLE         %00s ""
@ MASS             %le  0.9382720300    
@ CHARGE           %le     1
@ ENERGY           %le  0.9850024975    
@ PC               %le  0.2997924580                                                   B.rho    1.000000000    
@ GAMMA            %le   1.049804818    
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le                   0
@ SIGT             %le                   1
@ NPART            %le                   0
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le                   1
@ LENGTH           %le   10555.57220    
@ ALFA             %le  0.1515952549E-01
@ ORBIT5           %le                  -0
@ GAMMATR          %le   8.121891738    
@ Q1               %le  0.6378327101     + integer
@ Q2               %le  0.6089227321     + integer
@ DQ1              %le  -4.197722903    
@ DQ2              %le  -5.223347924    
@ DXMAX            %le  0.    not computed
@ DYMAX            %le  0.    not computed
@ XCOMAX           %le  0.    not computed
@ YCOMAX           %le  0.    not computed
@ BETXMAX          %le  0.    not computed
@ BETYMAX          %le  0.    not computed
@ XCORMS           %le  0.    not computed
@ YCORMS           %le  0.    not computed
@ DXRMS            %le  0.    not computed
@ DYRMS            %le  0.    not computed
@ DELTAP           %le  0.    not computed
@ |C|              %le   0.000000000    
@ Q1               %le   0.000000000    
@ Q2               %le   0.000000000    
@ SYNCH_4          %le  0.    not computed
@ SYNCH_5          %le  0.    not computed
@ TITLE            %12s "Zgoubi model"
@ ORIGIN           %12s "twiss.f"
@ DATE             %08s "  "
@ TIME             %08s "  "
# From TWISS keyword
# alfx          btx           alfy          bty           alfl          btl           Dx            Dxp           Dy            Dy            phix/2pi      phiy/2pi      sum_s         #lmnt  x             xp            y             yp          KEYWORD    label1     label2       FO(6,1)       K0*L          K1*L          K2*L          |C|           r
# 1             2             3             4             5             6             7             8             9             10            11            12            13            14     15            16            17            18          19         20         21           22            23            24            25            26            27
  2.02623E+00   1.01085E+01  -1.01680E+00   2.77878E+00   0.00000E+00   0.00000E+00  -3.85974E+00   8.01861E-01   0.00000E+00   0.00000E+00   3.28568E-01   4.05483E-01   9.97995E+02     11   5.70205E-05  -1.55705E-03   0.00000E+00   0.00000E+00 ESL        SD         2            9.97972E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   ! otpimp.f
  8.58945E-01   2.66667E+00  -2.72106E+00   1.22207E+01   0.00000E+00   0.00000E+00  -1.20210E+00   1.32429E+00   0.00000E+00   0.00000E+00   4.05925E-01   4.75722E-01   1.24689E+03     12   6.15177E-05   9.58505E-03   0.00000E+00   0.00000E+00 BEND       DIP        3            1.24686E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   ! otpimp.f
  3.92180E-01   1.77053E+00  -3.21363E+00   1.64715E+01   0.00000E+00   0.00000E+00  -2.53568E-01   1.32429E+00   0.00000E+00   0.00000E+00   4.59387E-01   4.83760E-01   1.31852E+03     13   6.83830E-05   9.58505E-03   0.00000E+00   0.00000E+00 ESL        SD         2            1.31848E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   ! otpimp.f
 -5.55158E-01   1.84531E+00   3.00383E+00   1.65802E+01   0.00000E+00   0.00000E+00   3.86698E-01   1.34867E+00   0.00000E+00   0.00000E+00   5.04093E-01   4.88304E-01   1.36714E+03     14   7.94691E-05   3.66969E-02   0.00000E+00   0.00000E+00 MULTIPOL   QP         5            1.36711E+01   0.00000E+00   9.66863-269   0.00000E+00   0.00000E+00   0.00000E+00   ! otpimp.f
 -1.06293E+00   3.00425E+00   2.57084E+00   1.25873E+01   0.00000E+00   0.00000E+00   1.35269E+00   1.34867E+00   0.00000E+00   0.00000E+00   5.53288E-01   4.96198E-01   1.43877E+03     15   1.05753E-04   3.66969E-02   0.00000E+00   0.00000E+00 ESL        SD         2            1.43874E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   ! otpimp.f
 -2.29824E+00   1.16746E+01   1.08348E+00   3.35595E+00   0.00000E+00   0.00000E+00   5.02541E+00   1.58936E+00   0.00000E+00   0.00000E+00   6.20442E-01   5.58749E-01   1.68767E+03     16   2.00121E-04   4.32246E-02   0.00000E+00   0.00000E+00 BEND       DIP        3            1.68763E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   ! otpimp.f
 -2.68363E+00   1.52429E+01   6.19503E-01   2.13618E+00   0.00000E+00   0.00000E+00   6.16380E+00   1.58936E+00   0.00000E+00   0.00000E+00   6.28992E-01   6.01850E-01   1.75929E+03     17   2.31081E-04   4.32246E-02   0.00000E+00   0.00000E+00 ESL        SD         2            1.75925E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   ! otpimp.f
  2.79248E+00   1.51890E+01  -3.49462E-01   2.01659E+00   0.00000E+00   0.00000E+00   6.37924E+00  -6.79987E-01   0.00000E+00   0.00000E+00   6.33745E-01   6.39019E-01   1.80601E+03     18   2.31724E-04  -4.05112E-02   0.00000E+00   0.00000E+00 QUADRUPO   QP         1            1.80598E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   ! otpimp.f
  5.21014E-01   2.19507E+00  -2.53156E+00   1.33145E+01   0.00000E+00   0.00000E+00   3.71268E+00  -6.79987E-01   0.00000E+00   0.00000E+00   7.52568E-01   7.75637E-01   2.19816E+03     19   7.28596E-05  -4.05112E-02   0.00000E+00   0.00000E+00 ESL        .          .            2.19813E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   ! otpimp.f
 -5.14976E-01   2.19228E+00   2.47144E+00   1.33456E+01   0.00000E+00   0.00000E+00   3.71308E+00   6.81660E-01   0.00000E+00   0.00000E+00   7.89246E-01   7.81271E-01   2.24679E+03     20   5.92549E-05  -1.62852E-02   0.00000E+00   0.00000E+00 MULTIPOL   QP         5            2.24675E+01   0.00000E+00   9.66863-269   0.00000E+00   0.00000E+00   0.00000E+00   ! otpimp.f
 -2.77807E+00   1.51058E+01   3.82812E-01   2.15268E+00   0.00000E+00   0.00000E+00   6.38620E+00   6.81660E-01   0.00000E+00   0.00000E+00   9.08569E-01   9.11891E-01   2.63894E+03     21  -4.60738E-06  -1.62852E-02   0.00000E+00   0.00000E+00 ESL        .          .            2.63890E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   ! otpimp.f
  2.66787E+00   1.51603E+01  -6.16126E-01   2.25601E+00   0.00000E+00   0.00000E+00   6.17092E+00  -1.59032E+00   0.00000E+00   0.00000E+00   9.13348E-01   9.46861E-01   2.68566E+03     22  -1.16279E-05  -1.33478E-02   0.00000E+00   0.00000E+00 QUADRUPO   QP         1            2.68562E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   ! otpimp.f
  2.28435E+00   1.16132E+01  -1.05414E+00   3.45234E+00   0.00000E+00   0.00000E+00   5.03185E+00  -1.59032E+00   0.00000E+00   0.00000E+00   9.21943E-01   9.88170E-01   2.75729E+03     23  -2.11883E-05  -1.33478E-02   0.00000E+00   0.00000E+00 ESL        SD         2            2.75725E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   ! otpimp.f
  1.05561E+00   2.99840E+00  -2.45315E+00   1.23118E+01   0.00000E+00   0.00000E+00   1.35677E+00  -1.34983E+00   0.00000E+00   0.00000E+00   9.89354E-01   5.05152E-02   3.00618E+03     24  -4.06178E-05   2.23569E-03   0.00000E+00   0.00000E+00 BEND       DIP        3            3.00613E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   ! otpimp.f
  5.50535E-01   1.84796E+00  -2.86143E+00   1.61184E+01   0.00000E+00   0.00000E+00   3.89950E-01  -1.34983E+00   0.00000E+00   0.00000E+00   3.85618E-02   5.86109E-02   3.07781E+03     25  -3.90165E-05   2.23569E-03   0.00000E+00   0.00000E+00 ESL        SD         2            3.07776E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   ! otpimp.f
 -3.97618E-01   1.77777E+00   3.17045E+00   1.59584E+01   0.00000E+00   0.00000E+00  -2.50583E-01  -1.32426E+00   0.00000E+00   0.00000E+00   8.31409E-02   6.32928E-02   3.12644E+03     26  -4.14812E-05  -1.25253E-02   0.00000E+00   0.00000E+00 MULTIPOL   QP         5            3.12639E+01   0.00000E+00   9.66863-269   0.00000E+00   0.00000E+00   0.00000E+00   ! otpimp.f
 -8.64198E-01   2.68152E+00   2.67441E+00   1.17720E+01   0.00000E+00   0.00000E+00  -1.19909E+00  -1.32426E+00   0.00000E+00   0.00000E+00   1.36336E-01   7.16136E-02   3.19806E+03     27  -5.04525E-05  -1.25253E-02   0.00000E+00   0.00000E+00 ESL        SD         2            3.19801E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   ! otpimp.f
 -2.02893E+00   1.01440E+01   9.55877E-01   2.60194E+00   0.00000E+00   0.00000E+00  -3.85682E+00  -8.01936E-01   0.00000E+00   0.00000E+00   2.13312E-01   1.45855E-01   3.44696E+03     28  -6.61398E-05   4.40734E-03   0.00000E+00   0.00000E+00 BEND       DIP        3            3.44689E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   ! otpimp.f
 -2.39019E+00   1.33092E+01   4.29078E-01   1.60996E+00   0.00000E+00   0.00000E+00  -4.43121E+00  -8.01936E-01   0.00000E+00   0.00000E+00   2.23129E-01   2.02757E-01   3.51858E+03     29  -6.29830E-05   4.40734E-03   0.00000E+00   0.00000E+00 ESL        SD         2            3.51852E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   ! otpimp.f
  2.39163E+00   1.33085E+01  -4.43333E-01   1.61627E+00   0.00000E+00   0.00000E+00  -4.43130E+00   8.01549E-01   0.00000E+00   0.00000E+00   2.28563E-01   2.50877E-01   3.56531E+03     30  -5.58028E-05   2.58994E-02   0.00000E+00   0.00000E+00 QUADRUPO   QP         1            3.56524E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   ! otpimp.f
