# F0(1,2),  F0(1,1),  F0(3,4),  F0(3,3) ,  F0(5,6),  F0(5,5),  F0(1,6),  F0(2,6),  F0(3,6),  F0(4,6),  PHY/(2.D0*PI),  PHZ/(2.D0*PI),  SCUM,  NOEL,  R(1,6),  R(2,6),  R(3,6),  R(4,6)
 -2.64726E-01   5.35845E-01   8.38560E-01   6.53255E+00   9.84190E-35   5.19092-270  -5.04866E-03   1.21076E-03   0.00000E+00   0.00000E+00   3.06968E-02   2.41414E-03   9.99381E+00      1  9.35887E-05   1.87699E-03   0.00000E+00   0.00000E+00
 -2.78208E-01   5.38558E-01   8.79703E-01   6.52396E+00   9.84190E-35   5.19092-270  -5.04245E-03   1.27202E-03   0.00000E+00   0.00000E+00   3.21772E-02   2.53597E-03   1.04935E+01      1  1.03204E-04   1.97172E-03   0.00000E+00   0.00000E+00
 -2.91727E-01   5.41406E-01   9.20732E-01   6.51497E+00   9.84190E-35   5.19092-270  -5.03594E-03   1.33338E-03   0.00000E+00   0.00000E+00   3.36500E-02   2.65795E-03   1.09932E+01      1  1.13294E-04   2.06657E-03   0.00000E+00   0.00000E+00
 -3.05283E-01   5.44389E-01   9.61641E-01   6.50556E+00   9.84190E-35   5.19092-270  -5.02913E-03   1.39485E-03   0.00000E+00   0.00000E+00   3.51150E-02   2.78011E-03   1.14929E+01      1  1.23857E-04   2.16155E-03   0.00000E+00   0.00000E+00
 -3.18879E-01   5.47507E-01   1.00242E+00   6.49575E+00   9.84190E-35   5.19092-270  -5.02200E-03   1.45644E-03   0.00000E+00   0.00000E+00   3.65717E-02   2.90245E-03   1.19926E+01      1  1.34896E-04   2.25668E-03   0.00000E+00   0.00000E+00
 -3.32517E-01   5.50762E-01   1.04308E+00   6.48553E+00   9.84190E-35   5.19092-270  -5.01457E-03   1.51815E-03   0.00000E+00   0.00000E+00   3.80199E-02   3.02497E-03   1.24923E+01      1  1.46410E-04   2.35195E-03   0.00000E+00   0.00000E+00
 -3.46198E-01   5.54153E-01   1.08360E+00   6.47490E+00   9.84190E-35   5.19092-270  -5.00683E-03   1.57998E-03   0.00000E+00   0.00000E+00   3.94595E-02   3.14770E-03   1.29919E+01      1  1.58401E-04   2.44738E-03   0.00000E+00   0.00000E+00
 -3.59924E-01   5.57681E-01   1.12397E+00   6.46387E+00   9.84190E-35   5.19092-270  -4.99878E-03   1.64194E-03   0.00000E+00   0.00000E+00   4.08901E-02   3.27063E-03   1.34916E+01      1  1.70869E-04   2.54296E-03   0.00000E+00   0.00000E+00
 -3.73697E-01   5.61347E-01   1.16420E+00   6.45243E+00   9.84190E-35   5.19092-270  -4.99041E-03   1.70404E-03   0.00000E+00   0.00000E+00   4.23115E-02   3.39377E-03   1.39913E+01      1  1.83815E-04   2.63871E-03   0.00000E+00   0.00000E+00
 -3.87518E-01   5.65150E-01   1.20428E+00   6.44060E+00   9.84190E-35   5.19092-270  -4.98174E-03   1.76628E-03   0.00000E+00   0.00000E+00   4.37235E-02   3.51713E-03   1.44910E+01      1  1.97240E-04   2.73463E-03   0.00000E+00   0.00000E+00
 -4.01389E-01   5.69092E-01   1.24421E+00   6.42836E+00   9.84190E-35   5.19092-270  -4.97276E-03   1.82867E-03   0.00000E+00   0.00000E+00   4.51258E-02   3.64073E-03   1.49907E+01      1  2.11144E-04   2.83073E-03   0.00000E+00   0.00000E+00
 -4.15313E-01   5.73172E-01   1.28397E+00   6.41573E+00   9.84190E-35   5.19092-270  -4.96347E-03   1.89121E-03   0.00000E+00   0.00000E+00   4.65183E-02   3.76457E-03   1.54904E+01      1  2.25529E-04   2.92701E-03   0.00000E+00   0.00000E+00
 -4.29291E-01   5.77392E-01   1.32356E+00   6.40270E+00   9.84190E-35   5.19092-270  -4.95386E-03   1.95390E-03   0.00000E+00   0.00000E+00   4.79007E-02   3.88865E-03   1.59901E+01      1  2.40396E-04   3.02348E-03   0.00000E+00   0.00000E+00
 -4.43325E-01   5.81752E-01   1.36298E+00   6.38928E+00   9.84190E-35   5.19092-270  -4.94394E-03   2.01676E-03   0.00000E+00   0.00000E+00   4.92729E-02   4.01299E-03   1.64898E+01      1  2.55745E-04   3.12015E-03   0.00000E+00   0.00000E+00
 -4.57416E-01   5.86253E-01   1.40223E+00   6.37546E+00   9.84190E-35   5.19092-270  -4.93370E-03   2.07978E-03   0.00000E+00   0.00000E+00   5.06347E-02   4.13760E-03   1.69895E+01      1  2.71578E-04   3.21702E-03   0.00000E+00   0.00000E+00
 -4.71567E-01   5.90894E-01   1.44129E+00   6.36125E+00   9.84190E-35   5.19092-270  -4.92315E-03   2.14297E-03   0.00000E+00   0.00000E+00   5.19859E-02   4.26248E-03   1.74892E+01      1  2.87896E-04   3.31410E-03   0.00000E+00   0.00000E+00
 -4.85779E-01   5.95678E-01   1.48016E+00   6.34665E+00   9.84190E-35   5.19092-270  -4.91228E-03   2.20634E-03   0.00000E+00   0.00000E+00   5.33264E-02   4.38764E-03   1.79888E+01      1  3.04698E-04   3.41139E-03   0.00000E+00   0.00000E+00
 -5.00054E-01   6.00603E-01   1.51885E+00   6.33167E+00   9.84190E-35   5.19092-270  -4.90109E-03   2.26989E-03   0.00000E+00   0.00000E+00   5.46560E-02   4.51309E-03   1.84885E+01      1  3.21988E-04   3.50890E-03   0.00000E+00   0.00000E+00
 -5.14394E-01   6.05672E-01   1.55733E+00   6.31629E+00   9.84190E-35   5.19092-270  -4.88959E-03   2.33363E-03   0.00000E+00   0.00000E+00   5.59746E-02   4.63885E-03   1.89882E+01      1  3.39765E-04   3.60664E-03   0.00000E+00   0.00000E+00
 -5.28802E-01   6.10884E-01   1.59561E+00   6.30054E+00   9.84190E-35   5.19092-270  -4.87777E-03   2.39756E-03   0.00000E+00   0.00000E+00   5.72820E-02   4.76492E-03   1.94879E+01      1  3.58032E-04   3.70462E-03   0.00000E+00   0.00000E+00
